marker,value,facet
PAX6,38.391308586359486,dorsal
PAX6,36.040384519673346,dorsal
PAX6,40.88237270057138,dorsal
PAX6,43.89200357129484,dorsal
PAX6,47.11220939620339,dorsal
PAX6,42.49367879694814,dorsal
PAX6,39.51308705758695,dorsal
PAX6,38.46848840095075,dorsal
PAX6,45.36935596830566,dorsal
PAX6,49.3565236933136,dorsal
PAX6,43.227459491301246,dorsal
PAX6,36.45002101186153,dorsal
PAX6,37.6878065755376,dorsal
PAX6,49.200085900496,dorsal
PAX6,42.91297098228874,dorsal
PAX6,34.20539320902187,dorsal
PAX6,41.62336713232338,dorsal
PAX6,36.76548311949863,dorsal
PAX6,39.168203576723,dorsal
PAX6,39.803973795254144,dorsal
PAX6,38.7900898276549,dorsal
PAX6,44.490203116589804,dorsal
PAX6,41.7161131263362,dorsal
PAX6,39.34755933885328,dorsal
PAX6,43.84337021950703,dorsal
EMX2,47.73434888177596,dorsal
EMX2,36.60639482867445,dorsal
EMX2,42.84471443135528,dorsal
EMX2,39.586636897801945,dorsal
EMX2,43.220801488120856,dorsal
EMX2,38.19761563960763,dorsal
EMX2,44.09310677316916,dorsal
EMX2,43.829514165301696,dorsal
EMX2,42.6304801206868,dorsal
EMX2,39.28433072695889,dorsal
EMX2,42.21714351287108,dorsal
EMX2,39.08901994236931,dorsal
EMX2,37.90156064207867,dorsal
EMX2,45.011535796069516,dorsal
EMX2,39.00792527948885,dorsal
EMX2,49.26633245530232,dorsal
EMX2,47.22464445143226,dorsal
EMX2,35.00982488397625,dorsal
EMX2,45.2245799123562,dorsal
EMX2,39.0422751758853,dorsal
EMX2,44.148757490712214,dorsal
EMX2,44.196343966562395,dorsal
EMX2,35.05206595295996,dorsal
EMX2,42.94959864305403,dorsal
EMX2,42.848944858702744,dorsal
TBR2,26.329002393293926,dorsal
TBR2,16.68348936419703,dorsal
TBR2,25.321188540305577,dorsal
TBR2,17.05462256633617,dorsal
TBR2,20.509190982850374,dorsal
TBR2,18.21787074210005,dorsal
TBR2,28.519290800147523,dorsal
TBR2,24.55695894904732,dorsal
TBR2,32.942796262803455,dorsal
TBR2,24.888623705870444,dorsal
TBR2,25.80246730173629,dorsal
TBR2,25.783072943194032,dorsal
TBR2,19.27024808840702,dorsal
TBR2,21.68487199012728,dorsal
TBR2,28.076749904850818,dorsal
TBR2,20.215521556721626,dorsal
TBR2,22.849597890809942,dorsal
TBR2,21.904494428122195,dorsal
TBR2,24.74147421774733,dorsal
TBR2,20.357910661236822,dorsal
TBR2,21.314371500594184,dorsal
TBR2,23.090716429024678,dorsal
TBR2,22.463604123190635,dorsal
TBR2,18.10762264173181,dorsal
TBR2,26.0310236943525,dorsal
MAP2,16.156834562888896,dorsal
MAP2,16.59498003038413,dorsal
MAP2,16.228786923667922,dorsal
MAP2,26.351375255199468,dorsal
MAP2,20.377262339953283,dorsal
MAP2,17.630336296655205,dorsal
MAP2,16.88790372614659,dorsal
MAP2,23.89509011858083,dorsal
MAP2,17.25321701839974,dorsal
MAP2,16.27564805456061,dorsal
MAP2,24.762968781109873,dorsal
MAP2,16.614815227633432,dorsal
MAP2,20.549028321618714,dorsal
MAP2,21.969573068440653,dorsal
MAP2,19.995990848815843,dorsal
